Customer ID,Branch Code,City,Age,Age_Group,Avg. Annual Income/Month,Income_Segment,Avg_Balance,Balance_Risk_Level,Balance_Volatility,Balance_Growth,Balance_Growth_Rate,Avg_Products,Product_Adoption,Max_Products,Product_Diversity,Avg_CreditCard,Avg_Active,Activity_Status,Activity_Trend,Risk_Score,Risk_Category,Unpaid Tagging
15565701,1001,Jakarta,29,26-35,33000000,Very High Income,296759.045,High Risk,593518.09,118703618.0,inf,1.0,Low,1,1,1.0,0.5,Active,0,0.6588779071369573,High Risk,1
15565878,1005,Jakarta,68,55+,17000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.25,Inactive,-1,0.7266573183114936,Very High Risk,0
15566091,1009,Jakarta,25,18-25,12000000,Very High Income,337955.06,High Risk,675910.12,135182024.0,inf,2.0,Medium,2,1,1.0,0.25,Inactive,1,0.7447152622647171,Very High Risk,0
15566292,1008,Jakarta,42,36-45,19000000,Very High Income,0.0,Very High Risk,0.0,0.0,,2.0,Medium,2,1,1.0,0.25,Inactive,-1,0.7193075770030464,Very High Risk,0
15566312,1009,Jakarta,43,36-45,29000000,Very High Income,277524.09,High Risk,336035.63438709517,43119068.0,inf,2.0,Medium,2,1,1.0,0.5,Active,1,0.6271759796272696,High Risk,0
15566495,1005,Jakarta,27,26-35,15000000,Very High Income,53061201.49,Low Risk,181055.14375552363,0.6544418676794126,0.2179083486821757,1.0,Low,1,1,1.0,0.75,Active,0,0.6205019826995054,High Risk,0
15566543,1003,Jakarta,68,55+,26000000,Very High Income,109927627.95,Low Risk,379750.398269157,-0.7178295437263332,-0.23970741736159354,1.5,Medium,2,2,1.0,0.75,Active,-1,0.5036276906105351,High Risk,0
15566594,1008,Jakarta,61,55+,24000000,Very High Income,0.0,Very High Risk,0.0,0.0,,3.0,High,3,1,1.0,0.0,Inactive,0,0.7096368647550891,Very High Risk,1
15566689,1003,Jakarta,43,36-45,38000000,Very High Income,149803.12,High Risk,172977.74331489162,29960624.0,inf,2.25,High,3,2,1.0,0.5,Active,-1,0.5826168673814985,High Risk,0
15566958,1005,Jakarta,70,55+,23000000,Very High Income,79601492.25,Low Risk,274185.4159632067,-0.7264407596597466,-0.24256174220887625,1.0,Low,1,1,0.25,0.5,Active,0,0.7454047015723583,Very High Risk,1
15567013,1001,Jakarta,23,18-25,19000000,Very High Income,19202027.14,Low Risk,227515.46187164218,-0.9289761229044581,-0.2963748506870497,1.0,Low,1,1,0.25,0.5,Active,1,0.8166529855496524,Very High Risk,1
15567147,1003,Jakarta,27,26-35,20000000,Very High Income,77758628.4,Low Risk,105268.5476103855,0.3115632964149279,0.10379588823169102,1.0,Low,1,1,1.0,0.75,Active,0,0.5790047443845697,High Risk,1
15567328,1003,Jakarta,35,26-35,29000000,Very High Income,81405612.09,Low Risk,143877.80705486398,-0.39272070358630756,-0.13107197442460877,2.0,Medium,2,1,1.0,0.75,Active,1,0.49609701317292265,Medium Risk,0
15567802,1001,Jakarta,43,36-45,40000000,Very High Income,157096107.55,Low Risk,237424.59039643864,-0.1715584032794381,-0.057043710680611724,2.0,Medium,2,1,1.0,1.0,Active,0,0.3296853977259205,Medium Risk,0
15567993,1002,Jakarta,34,26-35,25000000,Very High Income,91570207.3,Low Risk,96901.0,-0.21130765643541327,-0.07043588624645233,2.0,Medium,2,1,1.0,0.25,Inactive,0,0.6115260464470457,High Risk,0
15568162,1007,Jakarta,39,36-45,58000000,Very High Income,10304102.19,Low Risk,337126.47270757303,7.005180561463832,2.2962813239378805,2.0,Medium,2,1,1.0,0.75,Active,-1,0.4560943199390839,Medium Risk,0
15568238,1004,Jakarta,25,18-25,8000000,High Income,117825858.55,Low Risk,179356.76396756456,0.35641938687592034,0.11876339029413356,2.0,Medium,2,1,1.0,0.75,Active,1,0.5391709604642275,High Risk,0
15568449,1006,Jakarta,66,55+,20000000,Very High Income,47550481.75,Low Risk,43708.5,-0.18375595043817167,-0.06125198476694497,2.25,High,3,2,1.0,0.5,Active,0,0.6043858090592642,High Risk,0
15568849,1005,Jakarta,69,55+,24000000,Very High Income,75562831.4,Low Risk,233458.0,0.6188735785657553,0.20629119558954004,1.0,Low,1,1,1.0,0.25,Inactive,1,0.6766071891429247,High Risk,1
15568878,1004,Jakarta,60,55+,20000000,Very High Income,121653780.5,Low Risk,105993.42651944664,0.15102253777298155,0.050340846338444344,2.0,Medium,2,1,1.0,0.25,Inactive,0,0.6017347528535831,High Risk,0
15569187,1004,Jakarta,44,36-45,43000000,Very High Income,126747783.75,Low Risk,359041.11434799497,0.6014537860748236,0.20020146108359338,1.0,Low,1,1,1.0,0.75,Active,0,0.44861678311339326,Medium Risk,0
15569247,1008,Jakarta,62,55+,20000000,Very High Income,0.0,Very High Risk,0.0,0.0,,1.0,Low,1,1,0.25,0.25,Inactive,-1,0.8860790097190657,Very High Risk,1
15569423,1007,Jakarta,39,36-45,28000000,Very High Income,30449493.24,Low Risk,33674.5,0.22155017860270493,0.07385006196359475,2.25,High,3,2,1.0,0.5,Active,-1,0.5909975883007326,High Risk,0
15569945,1001,Jakarta,27,26-35,16000000,Very High Income,439014.57999999996,High Risk,319864.34726481326,67660444.0,inf,2.75,High,4,3,1.0,0.75,Active,-1,0.5848604792839042,High Risk,0
15570379,1007,Jakarta,44,36-45,60000000,Very High Income,119246.995,High Risk,238493.99,47698798.0,inf,2.0,Medium,2,1,1.0,0.5,Active,0,0.5134031757580654,High Risk,0
15570414,1006,Jakarta,24,18-25,10000000,High Income,435873.72,High Risk,531421.6884353872,108065344.0,inf,1.0,Low,1,1,1.0,0.75,Active,0,0.6881466267119722,High Risk,1
15570485,1009,Jakarta,45,36-45,58000000,Very High Income,75313014.18,Low Risk,199775.60693667448,-0.16679097456975633,-0.05496324245679215,1.0,Low,1,1,1.0,0.5,Active,1,0.4967724176398699,Medium Risk,0
